second,relative_second,benign_packets,attack_packets,_bucket,bucket_start,second_attack_flows,max_hybrid_prob,max_signature_prob,target_hybrid_prob,target_signature_prob,hybrid_detected,signature_detected,attack_active
1772179636,0,13,0,0,1772179636,0,0.334659,0.78236437,0.0,0.0,0,1,0
1772179637,1,9,0,1,1772179637,0,0.5441438,0.78236437,0.0,0.0,1,1,0
1772179638,2,13,0,2,1772179638,0,0.52361304,0.78236437,0.0,0.0,1,1,0
1772179639,3,2,0,3,1772179639,0,0.34699357,0.78236437,0.0,0.0,0,1,0
1772179640,4,58,0,4,1772179640,0,0.42423108,0.78236437,0.0,0.0,0,1,0
1772179641,5,9,0,5,1772179641,0,0.37385172,0.78236437,0.0,0.0,0,1,0
1772179642,6,28,0,6,1772179642,0,0.38896966,0.78236437,0.0,0.0,0,1,0
1772179643,7,6,0,7,1772179643,0,0.37377688,0.78236437,0.0,0.0,0,1,0
1772179644,8,1,0,8,1772179644,0,0.37640998,0.78236437,0.0,0.0,0,1,0
1772179645,9,45,0,9,1772179645,0,0.39242652,0.78236437,0.0,0.0,0,1,0
1772179646,10,44,686,10,1772179646,1,0.53818065,0.9579417,0.5381806492805481,0.9579417109489441,1,1,1
1772179647,11,78,6541,11,1772179647,1,0.5415686,0.9579417,0.5415685772895813,0.9579417109489441,1,1,1
1772179648,12,48,6528,12,1772179648,1,0.54702693,0.9579417,0.5470269322395325,0.9579417109489441,1,1,1
1772179649,13,42,6482,13,1772179649,1,0.55581945,0.9579417,0.5558194518089294,0.9579417109489441,1,1,1
1772179650,14,43,6452,14,1772179650,1,0.55914044,0.9579417,0.5591404438018799,0.9579417109489441,1,1,1
1772179651,15,44,6496,15,1772179651,1,0.5632777,0.9579417,0.5632777214050293,0.9579417109489441,1,1,1
1772179652,16,32,5566,16,1772179652,1,0.5613,0.9579417,0.5612999796867371,0.9579417109489441,1,1,1
1772179653,17,62,7387,17,1772179653,1,0.5588166,0.9579417,0.5588166117668152,0.9579417109489441,1,1,1
1772179654,18,47,6500,18,1772179654,1,0.55842733,0.9579417,0.5584273338317871,0.9579417109489441,1,1,1
1772179655,19,43,6497,19,1772179655,1,0.5638328,0.9579417,0.5638328194618225,0.9579417109489441,1,1,1
1772179656,20,43,6303,20,1772179656,1,0.565363,0.9579417,0.5653629899024963,0.9579417109489441,1,1,1
1772179657,21,46,6682,21,1772179657,1,0.56513953,0.9579417,0.5651395320892334,0.9579417109489441,1,1,1
1772179658,22,47,6470,22,1772179658,1,0.5683771,0.9579417,0.5683770775794983,0.9579417109489441,1,1,1
1772179659,23,47,6477,23,1772179659,1,0.564883,0.9579417,0.5648829936981201,0.9579417109489441,1,1,1
1772179660,24,41,5181,24,1772179660,1,0.56291974,0.9579417,0.5629197359085083,0.9579417109489441,1,1,1
1772179661,25,12,2791,25,1772179661,1,0.5624441,0.9579417,0.5624440908432007,0.9579417109489441,1,1,1
1772179662,26,63,11471,26,1772179662,1,0.5619041,0.9579417,0.5619040727615356,0.9579417109489441,1,1,1
1772179663,27,5,6474,27,1772179663,1,0.56116706,0.9579417,0.5611670613288879,0.9579417109489441,1,1,1
1772179664,28,59,6451,28,1772179664,1,0.56402034,0.9579417,0.5640203356742859,0.9579417109489441,1,1,1
1772179665,29,16,6420,29,1772179665,1,0.5702542,0.9579417,0.5702542066574097,0.9579417109489441,1,1,1
1772179666,30,42,6356,30,1772179666,1,0.5677377,0.9579417,0.5677376985549927,0.9579417109489441,1,1,1
1772179667,31,41,6482,31,1772179667,1,0.5676961,0.9579417,0.5676960945129395,0.9579417109489441,1,1,1
1772179668,32,74,6428,32,1772179668,1,0.5629058,0.9579417,0.5629057884216309,0.9579417109489441,1,1,1
1772179669,33,49,6478,33,1772179669,1,0.55692756,0.9579417,0.5569275617599487,0.9579417109489441,1,1,1
1772179670,34,34,6366,34,1772179670,1,0.55468976,0.9579417,0.5546897649765015,0.9579417109489441,1,1,1
1772179671,35,44,6419,35,1772179671,1,0.5558273,0.9579417,0.5558273196220398,0.9579417109489441,1,1,1
1772179672,36,45,6428,36,1772179672,1,0.55708927,0.9579417,0.5570892691612244,0.9579417109489441,1,1,1
1772179673,37,51,6514,37,1772179673,1,0.5531279,0.9579417,0.5531278848648071,0.9579417109489441,1,1,1
1772179674,38,51,6258,38,1772179674,1,0.5541429,0.9579417,0.5541428923606873,0.9579417109489441,1,1,1
1772179675,39,49,6657,39,1772179675,1,0.55199224,0.9579417,0.5519922375679016,0.9579417109489441,1,1,1
1772179676,40,41,6503,40,1772179676,1,0.55588734,0.9579417,0.5558873414993286,0.9579417109489441,1,1,1
1772179677,41,42,6472,41,1772179677,1,0.5633508,0.9579417,0.5633507966995239,0.9579417109489441,1,1,1
1772179678,42,43,6426,42,1772179678,1,0.5668566,0.9579417,0.5668566226959229,0.9579417109489441,1,1,1
1772179679,43,47,6518,43,1772179679,1,0.56499165,0.9579417,0.5649916529655457,0.9579417109489441,1,1,1
1772179680,44,84,5125,44,1772179680,1,0.5597729,0.9579417,0.5597729086875916,0.9579417109489441,1,1,1
1772179681,45,48,0,45,1772179681,0,0.39917323,0.78236437,0.0,0.0,0,1,0
1772179682,46,42,0,46,1772179682,0,0.3953048,0.78236437,0.0,0.0,0,1,0
1772179683,47,48,0,47,1772179683,0,0.3897267,0.78236437,0.0,0.0,0,1,0
1772179684,48,28,0,48,1772179684,0,0.38492337,0.78236437,0.0,0.0,0,1,0
1772179685,49,1,0,49,1772179685,0,0.3762597,0.78236437,0.0,0.0,0,1,0
1772179686,50,7,0,50,1772179686,0,0.3728925,0.78236437,0.0,0.0,0,1,0
1772179687,51,1,0,51,1772179687,0,0.37842137,0.78236437,0.0,0.0,0,1,0
1772179688,52,1,0,52,1772179688,0,0.3708816,0.78236437,0.0,0.0,0,1,0
1772179689,53,5,0,53,1772179689,0,0.36682478,0.78236437,0.0,0.0,0,1,0
1772179690,54,4,0,54,1772179690,0,0.36618683,0.78236437,0.0,0.0,0,1,0
