Model,Batch Size,Latency (ms/flow),Throughput (flows/s)
Signature IDS,1,1.0299,971.0
Signature IDS,16,0.0491,20371.79
Signature IDS,64,0.0148,67501.08
Signature IDS,256,0.0034,290622.89
Signature IDS,1024,0.0008,1225796.8
Random Forest,1,12.9618,77.15
Random Forest,16,0.8025,1246.08
Random Forest,64,0.2082,4802.41
Random Forest,256,0.0512,19542.15
Random Forest,1024,0.0136,73694.56
LSTM,1,1.2223,818.12
LSTM,16,0.1991,5022.21
LSTM,64,0.1699,5887.46
LSTM,256,0.0939,10649.24
LSTM,1024,0.1249,8008.22
Transformer,1,0.6479,1543.37
Transformer,16,0.1784,5606.12
Transformer,64,0.1307,7649.98
Transformer,256,0.1223,8178.83
Transformer,1024,0.119,8406.7
Drift-Adaptive Hybrid,1,50.5939,19.77
Drift-Adaptive Hybrid,16,3.6217,276.11
Drift-Adaptive Hybrid,64,1.2813,780.46
Drift-Adaptive Hybrid,256,0.6876,1454.34
Drift-Adaptive Hybrid,1024,0.5417,1845.95
